OBJECTID,PS_ID,Longitude,Latitude,Mean_Veloc,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108
1,136129,113.437721,22.168022,-5.139375,0,21.601318,13.737514,8.635007,16.339951,10.925329,13.165757,1.985759,-5.368718,10.682958,-32.784023,12.341523,5.07856,10.92996,9.703578,12.945136,12.736232,11.10215,5.428487,11.238314,-3.819131,-8.84523,7.448822,9.319332,-1.346775,4.716962,-1.085053,8.101624,1.602578,12.590152,-3.999371,-9.11137,-1.395902,7.256353,-2.967685,10.401302,-6.063694,-4.088961,-6.356143,-1.310775,-0.71691,-0.362045,-6.860827,-7.914631,-10.44732,-11.853742,-12.038734,-6.483899,-9.13434,-9.443715,-8.771507,-1.178588,-16.524248,-13.499496,-9.928235,-13.932302,-11.934571,-12.28865,-32.024166,-35.790092,-8.416091,-15.80039,-12.646222,-8.401784,-15.866393,-26.105968,-19.165495,-14.312102,-68.566406,-18.499649,-18.924183,-16.913755,-16.609524,-18.501577,-13.452417,-12.599798,-17.589613,-15.957756,-31.51079,-18.253546,-29.298899,-23.55374,-21.555826,-30.98321,-23.510841,-21.916687,-20.659433,-20.686543,-32.229126,-32.518478,-31.190741,-19.828213,-36.782295,-27.743155,-17.325485,-33.81757,-28.246683,-34.383957,-26.648314,-25.868158,-28.917061,-27.875109,-24.720474,-36.866344
2,136182,113.437752,22.167898,-5.386928,0,22.857346,13.310619,10.081139,16.794685,10.308407,12.463194,3.155411,0.447185,8.944469,-35.746845,7.11923,3.787864,8.286186,10.080599,10.110292,8.676535,9.635967,3.237135,9.214617,-6.673917,-9.793516,4.678908,6.370326,-2.110472,0.589033,-4.10269,4.705625,-0.92764,7.980777,-7.81015,-12.20187,-4.990278,5.408688,-4.564274,8.025219,-7.263958,-5.780719,-7.858726,-3.12563,-3.589562,-1.687346,-8.91166,-8.308714,-12.170244,-12.640667,-14.378431,-7.888587,-11.089562,-10.62216,-12.081285,-2.916582,-18.762035,-15.692877,-12.315188,-13.882021,-12.865709,-13.948215,-32.969421,-37.091213,-11.063481,-16.238138,-14.472544,-11.215651,-17.6581,-28.490822,-21.887732,-15.240025,-69.541672,-20.660835,-20.400843,-18.716928,-19.334635,-20.955801,-15.953751,-16.285067,-20.407854,-18.638889,-33.268372,-19.259895,-31.782419,-25.733456,-25.111691,-32.840092,-26.610519,-25.09346,-23.766949,-24.225641,-34.848766,-35.161045,-35.100372,-23.029306,-37.978497,-31.994518,-20.254938,-36.514084,-31.543491,-38.216713,-30.385698,-30.915039,-30.972279,-31.865957,-29.127802,-38.784336
3,136240,113.437782,22.167776,-5.514813,0,24.967962,11.259474,9.828535,15.537775,7.914077,13.521585,1.885133,1.208265,5.714827,-39.112358,9.093462,3.897864,9.221972,9.473167,7.084237,2.088842,14.358477,1.786675,7.006876,-10.244465,-10.484978,1.256602,5.231567,-1.973912,-6.177938,-6.998109,2.221478,-3.223109,2.550239,-11.257399,-13.43053,-6.948258,2.66651,-6.537658,5.330622,-10.407784,-6.929206,-8.35397,-3.924225,-6.13377,-3.051411,-11.04096,-7.046969,-12.812936,-13.075476,-16.798862,-8.253067,-12.823874,-10.925426,-14.056822,-4.192183,-19.538189,-17.142677,-15.602085,-12.800284,-14.964268,-15.088339,-32.470207,-37.490925,-14.747093,-18.629507,-16.953316,-13.798999,-17.464317,-30.966335,-24.870783,-17.149319,-69.656898,-20.25272,-21.619045,-19.485807,-22.165365,-22.778301,-17.7892,-18.472361,-23.378969,-20.51977,-35.636143,-19.86141,-35.550358,-27.129755,-27.321678,-33.652603,-29.353283,-29.261803,-28.617989,-25.594078,-36.486164,-37.331566,-39.140965,-24.807657,-38.361423,-33.872093,-21.817127,-37.001789,-33.743736,-40.403725,-32.631363,-35.391693,-29.810314,-37.885582,-33.112053,-38.70639
4,136954,113.439491,22.165762,-5.765485,0,29.343254,15.329908,12.160105,13.816811,10.118984,9.835406,9.191549,1.995761,9.875929,-20.737997,5.527537,3.722352,4.992352,8.615825,9.902915,12.309338,2.591489,4.270164,8.702782,1.683163,-3.482278,8.543264,7.580764,-0.003509,1.695972,-3.558154,4.354154,3.92854,5.347534,-0.877729,-5.608042,-1.13443,11.042356,-6.711799,16.963165,-8.848788,-8.197048,-8.626457,1.60847,-5.123963,5.000067,-7.52484,-4.220089,-7.168417,-9.811455,-4.887346,-9.209408,-12.080613,-16.937702,-11.722717,-5.715298,-14.881554,-13.662437,-10.480128,-16.247225,-13.838842,-13.688159,-31.699135,-37.166359,-12.09165,-15.004901,-17.434832,-9.496132,-21.963099,-26.118031,-24.124626,-17.700439,-70.763336,-21.805443,-15.340294,-20.776497,-18.57851,-19.432083,-20.93852,-17.889755,-21.46129,-19.34602,-32.295181,-16.387754,-27.980534,-22.145638,-26.764278,-31.492723,-23.951206,-24.726822,-24.591646,-30.00894,-34.391327,-39.803406,-34.748272,-23.308893,-44.101429,-32.78812,-18.968788,-35.599876,-29.318087,-39.290344,-31.113752,-31.741852,-34.109612,-37.316689,-25.120047,-37.878349
5,136988,113.439529,22.16564,-5.72839,0,23.107561,16.325541,11.530081,15.553473,9.399483,10.273945,9.154236,2.692724,10.832464,-20.425394,7.283892,2.741859,5.489935,8.703259,7.869589,11.999756,1.932823,5.42397,8.095732,3.983696,-6.596095,8.077911,8.732658,-0.290536,1.859402,-3.780652,3.905849,-1.975131,5.447219,-1.00683,-4.485846,-1.377428,10.764006,-4.596817,17.878057,-8.396664,-5.600957,-6.812927,1.198789,-6.230295,4.587078,-7.212769,-3.077178,-6.755589,-10.467087,-4.402819,-9.537266,-11.919489,-13.693272,-10.86478,-5.818645,-15.262247,-13.103966,-10.468216,-10.302724,-14.183887,-12.743006,-31.240532,-35.769234,-10.984856,-14.386156,-18.044186,-8.223719,-19.785643,-26.728817,-23.023554,-16.687685,-69.880943,-21.040892,-17.463339,-20.186703,-19.018618,-19.535276,-20.591146,-19.654459,-22.256821,-20.021807,-32.763447,-17.758018,-28.217625,-20.689013,-25.345562,-29.0909,-26.74604,-24.427097,-24.914398,-29.398491,-35.654255,-38.607189,-34.919952,-22.184042,-42.434643,-31.604025,-18.370522,-34.408871,-31.423437,-38.056713,-32.236671,-33.415455,-34.313293,-35.681728,-27.589233,-37.858421
6,138239,113.439209,22.161734,-5.206131,0,28.345558,15.125787,9.53172,15.636313,12.037433,15.99137,8.016781,3.049714,7.955592,-29.28429,10.357342,4.978489,2.985332,5.595222,5.25694,8.440038,3.626628,4.891165,5.384808,-2.37243,-7.171964,2.820331,11.47226,-12.906431,0.122354,-1.867085,1.850949,-2.528628,4.651556,-0.330241,-5.449556,-6.731391,7.624571,-7.231379,5.253783,-16.820755,-6.539335,-7.70851,-4.928918,-5.661448,1.782626,-10.57045,-5.002616,-10.557194,-11.005888,-7.357412,-9.656412,-11.390285,-11.758362,-13.719947,-3.467307,-15.657359,-13.1141,-10.228621,-12.901937,-10.55083,-12.254358,-27.775955,-30.694736,-11.224606,-16.1814,-13.72019,-9.893768,-16.175909,-25.090878,-25.019707,-16.789841,-73.289116,-23.911453,-19.907,-20.887024,-19.280899,-22.505886,-18.716576,-17.748569,-21.246426,-20.608395,-27.730633,-16.132607,-25.626968,-22.130421,-25.394943,-28.302826,-25.31007,-24.494335,-25.019737,-28.057465,-32.441002,-30.759632,-32.162655,-16.591091,-39.426949,-30.411118,-18.779037,-33.392338,-27.436184,-33.39336,-29.520889,-30.224007,-32.228313,-30.719128,-27.016838,-36.340355
7,138307,113.444405,22.162447,1.729434,0,25.86713,9.234486,32.797974,28.497425,19.113016,18.864069,35.932297,28.129023,36.325382,17.116499,27.860748,20.633232,-2.093758,20.386648,15.32226,15.090204,11.550823,7.321077,5.465592,19.507505,11.496304,16.224155,16.993385,-3.491571,13.573524,5.14367,12.25994,6.151237,9.337564,31.718822,-3.858845,22.720224,23.997417,11.9777,23.919304,1.957967,5.714354,-1.418344,27.359261,28.051891,35.543045,18.823927,12.793129,9.010267,2.834355,11.024229,4.886035,6.895134,27.132561,23.468437,29.862007,18.088005,17.797279,17.978737,15.772851,8.43051,5.010907,18.291494,22.857914,38.443665,34.862953,24.246252,32.806854,27.992813,19.036079,15.226525,19.091444,18.688894,14.103818,10.145224,3.166731,4.000853,7.373609,6.425851,35.794136,23.867912,21.823288,23.647732,24.510708,9.824085,19.940083,42.505295,41.914772,15.630261,42.224815,41.068909,31.547092,29.74663,29.75753,18.313614,21.088305,15.582376,40.245293,61.571861,9.572477,12.949376,12.540997,39.554962,41.928181,37.49617,44.484764,36.947876,26.660545
8,139042,113.446724,22.160601,2.033749,0,17.5079,2.935926,35.946743,33.490089,26.410984,18.991482,43.595142,30.674812,38.277412,19.220715,35.13699,25.595854,-8.904421,28.126177,22.892616,19.322475,17.592804,15.68007,15.722078,34.755417,20.309181,28.920233,32.318077,13.004577,26.315437,13.242617,16.996464,15.135802,16.838089,40.322109,2.374062,30.918825,27.487095,21.564785,39.630791,18.888119,17.550547,9.755011,39.536015,39.528595,41.271652,25.857533,22.092583,23.273018,23.099709,20.262913,9.507383,13.210014,36.055515,36.129051,37.286228,28.228346,25.824751,27.809748,25.466879,12.981455,10.869541,27.285408,20.470909,41.131065,38.636681,32.606148,35.069492,30.775534,23.654499,16.808144,29.389444,29.735229,20.92053,16.238541,11.774393,13.639176,16.413607,16.001152,38.052856,34.185757,31.042183,28.578308,24.237354,16.314993,27.477846,50.174286,44.436035,17.039289,46.793571,48.722191,39.121788,37.345169,37.054714,24.44916,20.637287,18.777765,49.022003,69.520027,21.725189,30.68219,23.205729,51.549332,50.225151,50.717056,49.940968,48.828873,35.537296
9,139400,113.447884,22.159777,2.887194,0,17.31768,7.886784,33.313198,29.769867,23.956493,23.655155,43.989639,34.003372,40.823357,19.784506,34.362518,26.023136,3.907337,24.534765,20.091648,23.486557,17.297754,13.250847,15.749773,28.821365,17.246828,25.859425,25.016521,14.262264,19.343271,13.257317,14.404102,13.882808,19.529434,42.084843,9.136335,31.006388,32.363579,22.603065,32.691456,15.418109,17.260784,10.781371,37.906265,37.481888,40.529045,26.909723,17.884613,21.067747,17.271936,20.559895,15.999996,16.951538,37.312977,38.644173,39.640129,30.201807,27.802296,29.288897,29.279783,17.397579,13.592209,30.997921,25.447767,48.443665,42.285992,38.045757,42.129135,37.216698,32.318169,23.376265,26.365185,38.250282,25.409986,28.000353,15.109909,15.062746,20.111454,17.559193,43.707981,39.00103,38.805466,34.012741,30.035492,20.475712,33.212944,58.045925,50.927628,25.772322,53.541138,55.759148,46.474911,42.644768,45.135387,33.044605,35.320541,26.98398,53.763847,67.970612,25.348421,27.473965,25.335686,54.254288,55.821304,51.530605,55.886909,49.848465,38.929939
10,139401,113.447815,22.159763,1.907277,0,13.644319,3.33675,29.591665,26.014318,20.373287,21.287241,40.831917,31.257336,41.034657,23.954758,33.462238,24.443289,2.73234,24.198647,20.927296,21.164558,13.717428,13.300135,15.245779,28.28389,15.383706,24.342316,21.40173,9.319513,16.026657,12.88965,8.748273,11.315024,15.127174,38.198986,1.249016,27.410873,35.21209,7.13095,28.682856,14.961483,14.525452,7.43229,34.148273,34.66785,37.427628,22.214483,13.769956,19.590565,15.117638,15.879019,10.32056,12.705024,28.918425,36.028027,36.558647,26.384426,24.838766,23.615732,23.08469,10.7617,10.879745,24.75008,19.327532,51.894844,37.944641,29.87145,36.736465,30.962879,26.088562,15.169254,30.41877,30.307875,17.80633,8.458948,5.456356,7.591825,8.302432,12.648399,36.315376,31.890608,31.312471,30.225582,26.696758,15.679474,24.160063,47.897606,40.584888,16.896223,49.548004,48.467579,38.150738,36.04649,36.960934,24.898466,24.105831,20.961651,47.276459,59.494698,17.476746,17.010399,11.28325,45.617275,44.856735,44.103157,51.304546,35.627777,29.180305
