job_index,job_id,seed,horizon,model,script,output_directory,command
1,seed042_horizon01_STG_Informer,42,1,STG-Informer,seed042_horizon01_stg_informer.py,STG_seed42_horizon1,python seed042_horizon01_stg_informer.py
2,seed042_horizon01_G_Informer,42,1,G-Informer,seed042_horizon01_g_informer.py,G_seed42_horizon1,python seed042_horizon01_g_informer.py
3,seed042_horizon01_ST_Informer,42,1,ST-Informer,seed042_horizon01_st_informer.py,ST_seed42_horizon1,python seed042_horizon01_st_informer.py
4,seed042_horizon01_Informer,42,1,Informer,seed042_horizon01_informer.py,Informer_seed42_horizon1,python seed042_horizon01_informer.py
5,seed042_horizon01_GRU,42,1,GRU,seed042_horizon01_gru.py,GRU_seed42_horizon1,python seed042_horizon01_gru.py
6,seed042_horizon01_Transformer,42,1,Transformer,seed042_horizon01_transformer.py,Transformer_seed42_horizon1,python seed042_horizon01_transformer.py
7,seed042_horizon01_ConvLSTM,42,1,ConvLSTM,seed042_horizon01_convlstm.py,ConvLSTM_seed42_horizon1,python seed042_horizon01_convlstm.py
8,seed042_horizon01_CNN_LSTM,42,1,CNN-LSTM,seed042_horizon01_cnn_lstm.py,CNN-LSTM_seed42_horizon1,python seed042_horizon01_cnn_lstm.py
9,seed042_horizon03_STG_Informer,42,3,STG-Informer,seed042_horizon03_stg_informer.py,STG_seed42_horizon3,python seed042_horizon03_stg_informer.py
10,seed042_horizon03_G_Informer,42,3,G-Informer,seed042_horizon03_g_informer.py,G_seed42_horizon3,python seed042_horizon03_g_informer.py
11,seed042_horizon03_ST_Informer,42,3,ST-Informer,seed042_horizon03_st_informer.py,ST_seed42_horizon3,python seed042_horizon03_st_informer.py
12,seed042_horizon03_Informer,42,3,Informer,seed042_horizon03_informer.py,Informer_seed42_horizon3,python seed042_horizon03_informer.py
13,seed042_horizon03_GRU,42,3,GRU,seed042_horizon03_gru.py,GRU_seed42_horizon3,python seed042_horizon03_gru.py
14,seed042_horizon03_Transformer,42,3,Transformer,seed042_horizon03_transformer.py,Transformer_seed42_horizon3,python seed042_horizon03_transformer.py
15,seed042_horizon03_ConvLSTM,42,3,ConvLSTM,seed042_horizon03_convlstm.py,ConvLSTM_seed42_horizon3,python seed042_horizon03_convlstm.py
16,seed042_horizon03_CNN_LSTM,42,3,CNN-LSTM,seed042_horizon03_cnn_lstm.py,CNN-LSTM_seed42_horizon3,python seed042_horizon03_cnn_lstm.py
17,seed042_horizon06_STG_Informer,42,6,STG-Informer,seed042_horizon06_stg_informer.py,STG_seed42_horizon6,python seed042_horizon06_stg_informer.py
18,seed042_horizon06_G_Informer,42,6,G-Informer,seed042_horizon06_g_informer.py,G_seed42_horizon6,python seed042_horizon06_g_informer.py
19,seed042_horizon06_ST_Informer,42,6,ST-Informer,seed042_horizon06_st_informer.py,ST_seed42_horizon6,python seed042_horizon06_st_informer.py
20,seed042_horizon06_Informer,42,6,Informer,seed042_horizon06_informer.py,Informer_seed42_horizon6,python seed042_horizon06_informer.py
21,seed042_horizon06_GRU,42,6,GRU,seed042_horizon06_gru.py,GRU_seed42_horizon6,python seed042_horizon06_gru.py
22,seed042_horizon06_Transformer,42,6,Transformer,seed042_horizon06_transformer.py,Transformer_seed42_horizon6,python seed042_horizon06_transformer.py
23,seed042_horizon06_ConvLSTM,42,6,ConvLSTM,seed042_horizon06_convlstm.py,ConvLSTM_seed42_horizon6,python seed042_horizon06_convlstm.py
24,seed042_horizon06_CNN_LSTM,42,6,CNN-LSTM,seed042_horizon06_cnn_lstm.py,CNN-LSTM_seed42_horizon6,python seed042_horizon06_cnn_lstm.py
25,seed042_horizon09_STG_Informer,42,9,STG-Informer,seed042_horizon09_stg_informer.py,STG_seed42_horizon9,python seed042_horizon09_stg_informer.py
26,seed042_horizon09_G_Informer,42,9,G-Informer,seed042_horizon09_g_informer.py,G_seed42_horizon9,python seed042_horizon09_g_informer.py
27,seed042_horizon09_ST_Informer,42,9,ST-Informer,seed042_horizon09_st_informer.py,ST_seed42_horizon9,python seed042_horizon09_st_informer.py
28,seed042_horizon09_Informer,42,9,Informer,seed042_horizon09_informer.py,Informer_seed42_horizon9,python seed042_horizon09_informer.py
29,seed042_horizon09_GRU,42,9,GRU,seed042_horizon09_gru.py,GRU_seed42_horizon9,python seed042_horizon09_gru.py
30,seed042_horizon09_Transformer,42,9,Transformer,seed042_horizon09_transformer.py,Transformer_seed42_horizon9,python seed042_horizon09_transformer.py
31,seed042_horizon09_ConvLSTM,42,9,ConvLSTM,seed042_horizon09_convlstm.py,ConvLSTM_seed42_horizon9,python seed042_horizon09_convlstm.py
32,seed042_horizon09_CNN_LSTM,42,9,CNN-LSTM,seed042_horizon09_cnn_lstm.py,CNN-LSTM_seed42_horizon9,python seed042_horizon09_cnn_lstm.py
33,seed042_horizon12_STG_Informer,42,12,STG-Informer,seed042_horizon12_stg_informer.py,STG_seed42_horizon12,python seed042_horizon12_stg_informer.py
34,seed042_horizon12_G_Informer,42,12,G-Informer,seed042_horizon12_g_informer.py,G_seed42_horizon12,python seed042_horizon12_g_informer.py
35,seed042_horizon12_ST_Informer,42,12,ST-Informer,seed042_horizon12_st_informer.py,ST_seed42_horizon12,python seed042_horizon12_st_informer.py
36,seed042_horizon12_Informer,42,12,Informer,seed042_horizon12_informer.py,Informer_seed42_horizon12,python seed042_horizon12_informer.py
37,seed042_horizon12_GRU,42,12,GRU,seed042_horizon12_gru.py,GRU_seed42_horizon12,python seed042_horizon12_gru.py
38,seed042_horizon12_Transformer,42,12,Transformer,seed042_horizon12_transformer.py,Transformer_seed42_horizon12,python seed042_horizon12_transformer.py
39,seed042_horizon12_ConvLSTM,42,12,ConvLSTM,seed042_horizon12_convlstm.py,ConvLSTM_seed42_horizon12,python seed042_horizon12_convlstm.py
40,seed042_horizon12_CNN_LSTM,42,12,CNN-LSTM,seed042_horizon12_cnn_lstm.py,CNN-LSTM_seed42_horizon12,python seed042_horizon12_cnn_lstm.py
41,seed123_horizon01_STG_Informer,123,1,STG-Informer,seed123_horizon01_stg_informer.py,STG_seed123_horizon1,python seed123_horizon01_stg_informer.py
42,seed123_horizon01_G_Informer,123,1,G-Informer,seed123_horizon01_g_informer.py,G_seed123_horizon1,python seed123_horizon01_g_informer.py
43,seed123_horizon01_ST_Informer,123,1,ST-Informer,seed123_horizon01_st_informer.py,ST_seed123_horizon1,python seed123_horizon01_st_informer.py
44,seed123_horizon01_Informer,123,1,Informer,seed123_horizon01_informer.py,Informer_seed123_horizon1,python seed123_horizon01_informer.py
45,seed123_horizon01_GRU,123,1,GRU,seed123_horizon01_gru.py,GRU_seed123_horizon1,python seed123_horizon01_gru.py
46,seed123_horizon01_Transformer,123,1,Transformer,seed123_horizon01_transformer.py,Transformer_seed123_horizon1,python seed123_horizon01_transformer.py
47,seed123_horizon01_ConvLSTM,123,1,ConvLSTM,seed123_horizon01_convlstm.py,ConvLSTM_seed123_horizon1,python seed123_horizon01_convlstm.py
48,seed123_horizon01_CNN_LSTM,123,1,CNN-LSTM,seed123_horizon01_cnn_lstm.py,CNN-LSTM_seed123_horizon1,python seed123_horizon01_cnn_lstm.py
49,seed123_horizon03_STG_Informer,123,3,STG-Informer,seed123_horizon03_stg_informer.py,STG_seed123_horizon3,python seed123_horizon03_stg_informer.py
50,seed123_horizon03_G_Informer,123,3,G-Informer,seed123_horizon03_g_informer.py,G_seed123_horizon3,python seed123_horizon03_g_informer.py
51,seed123_horizon03_ST_Informer,123,3,ST-Informer,seed123_horizon03_st_informer.py,ST_seed123_horizon3,python seed123_horizon03_st_informer.py
52,seed123_horizon03_Informer,123,3,Informer,seed123_horizon03_informer.py,Informer_seed123_horizon3,python seed123_horizon03_informer.py
53,seed123_horizon03_GRU,123,3,GRU,seed123_horizon03_gru.py,GRU_seed123_horizon3,python seed123_horizon03_gru.py
54,seed123_horizon03_Transformer,123,3,Transformer,seed123_horizon03_transformer.py,Transformer_seed123_horizon3,python seed123_horizon03_transformer.py
55,seed123_horizon03_ConvLSTM,123,3,ConvLSTM,seed123_horizon03_convlstm.py,ConvLSTM_seed123_horizon3,python seed123_horizon03_convlstm.py
56,seed123_horizon03_CNN_LSTM,123,3,CNN-LSTM,seed123_horizon03_cnn_lstm.py,CNN-LSTM_seed123_horizon3,python seed123_horizon03_cnn_lstm.py
57,seed123_horizon06_STG_Informer,123,6,STG-Informer,seed123_horizon06_stg_informer.py,STG_seed123_horizon6,python seed123_horizon06_stg_informer.py
58,seed123_horizon06_G_Informer,123,6,G-Informer,seed123_horizon06_g_informer.py,G_seed123_horizon6,python seed123_horizon06_g_informer.py
59,seed123_horizon06_ST_Informer,123,6,ST-Informer,seed123_horizon06_st_informer.py,ST_seed123_horizon6,python seed123_horizon06_st_informer.py
60,seed123_horizon06_Informer,123,6,Informer,seed123_horizon06_informer.py,Informer_seed123_horizon6,python seed123_horizon06_informer.py
61,seed123_horizon06_GRU,123,6,GRU,seed123_horizon06_gru.py,GRU_seed123_horizon6,python seed123_horizon06_gru.py
62,seed123_horizon06_Transformer,123,6,Transformer,seed123_horizon06_transformer.py,Transformer_seed123_horizon6,python seed123_horizon06_transformer.py
63,seed123_horizon06_ConvLSTM,123,6,ConvLSTM,seed123_horizon06_convlstm.py,ConvLSTM_seed123_horizon6,python seed123_horizon06_convlstm.py
64,seed123_horizon06_CNN_LSTM,123,6,CNN-LSTM,seed123_horizon06_cnn_lstm.py,CNN-LSTM_seed123_horizon6,python seed123_horizon06_cnn_lstm.py
65,seed123_horizon09_STG_Informer,123,9,STG-Informer,seed123_horizon09_stg_informer.py,STG_seed123_horizon9,python seed123_horizon09_stg_informer.py
66,seed123_horizon09_G_Informer,123,9,G-Informer,seed123_horizon09_g_informer.py,G_seed123_horizon9,python seed123_horizon09_g_informer.py
67,seed123_horizon09_ST_Informer,123,9,ST-Informer,seed123_horizon09_st_informer.py,ST_seed123_horizon9,python seed123_horizon09_st_informer.py
68,seed123_horizon09_Informer,123,9,Informer,seed123_horizon09_informer.py,Informer_seed123_horizon9,python seed123_horizon09_informer.py
69,seed123_horizon09_GRU,123,9,GRU,seed123_horizon09_gru.py,GRU_seed123_horizon9,python seed123_horizon09_gru.py
70,seed123_horizon09_Transformer,123,9,Transformer,seed123_horizon09_transformer.py,Transformer_seed123_horizon9,python seed123_horizon09_transformer.py
71,seed123_horizon09_ConvLSTM,123,9,ConvLSTM,seed123_horizon09_convlstm.py,ConvLSTM_seed123_horizon9,python seed123_horizon09_convlstm.py
72,seed123_horizon09_CNN_LSTM,123,9,CNN-LSTM,seed123_horizon09_cnn_lstm.py,CNN-LSTM_seed123_horizon9,python seed123_horizon09_cnn_lstm.py
73,seed123_horizon12_STG_Informer,123,12,STG-Informer,seed123_horizon12_stg_informer.py,STG_seed123_horizon12,python seed123_horizon12_stg_informer.py
74,seed123_horizon12_G_Informer,123,12,G-Informer,seed123_horizon12_g_informer.py,G_seed123_horizon12,python seed123_horizon12_g_informer.py
75,seed123_horizon12_ST_Informer,123,12,ST-Informer,seed123_horizon12_st_informer.py,ST_seed123_horizon12,python seed123_horizon12_st_informer.py
76,seed123_horizon12_Informer,123,12,Informer,seed123_horizon12_informer.py,Informer_seed123_horizon12,python seed123_horizon12_informer.py
77,seed123_horizon12_GRU,123,12,GRU,seed123_horizon12_gru.py,GRU_seed123_horizon12,python seed123_horizon12_gru.py
78,seed123_horizon12_Transformer,123,12,Transformer,seed123_horizon12_transformer.py,Transformer_seed123_horizon12,python seed123_horizon12_transformer.py
79,seed123_horizon12_ConvLSTM,123,12,ConvLSTM,seed123_horizon12_convlstm.py,ConvLSTM_seed123_horizon12,python seed123_horizon12_convlstm.py
80,seed123_horizon12_CNN_LSTM,123,12,CNN-LSTM,seed123_horizon12_cnn_lstm.py,CNN-LSTM_seed123_horizon12,python seed123_horizon12_cnn_lstm.py
81,seed2024_horizon01_STG_Informer,2024,1,STG-Informer,seed2024_horizon01_stg_informer.py,STG_seed2024_horizon1,python seed2024_horizon01_stg_informer.py
82,seed2024_horizon01_G_Informer,2024,1,G-Informer,seed2024_horizon01_g_informer.py,G_seed2024_horizon1,python seed2024_horizon01_g_informer.py
83,seed2024_horizon01_ST_Informer,2024,1,ST-Informer,seed2024_horizon01_st_informer.py,ST_seed2024_horizon1,python seed2024_horizon01_st_informer.py
84,seed2024_horizon01_Informer,2024,1,Informer,seed2024_horizon01_informer.py,Informer_seed2024_horizon1,python seed2024_horizon01_informer.py
85,seed2024_horizon01_GRU,2024,1,GRU,seed2024_horizon01_gru.py,GRU_seed2024_horizon1,python seed2024_horizon01_gru.py
86,seed2024_horizon01_Transformer,2024,1,Transformer,seed2024_horizon01_transformer.py,Transformer_seed2024_horizon1,python seed2024_horizon01_transformer.py
87,seed2024_horizon01_ConvLSTM,2024,1,ConvLSTM,seed2024_horizon01_convlstm.py,ConvLSTM_seed2024_horizon1,python seed2024_horizon01_convlstm.py
88,seed2024_horizon01_CNN_LSTM,2024,1,CNN-LSTM,seed2024_horizon01_cnn_lstm.py,CNN-LSTM_seed2024_horizon1,python seed2024_horizon01_cnn_lstm.py
89,seed2024_horizon03_STG_Informer,2024,3,STG-Informer,seed2024_horizon03_stg_informer.py,STG_seed2024_horizon3,python seed2024_horizon03_stg_informer.py
90,seed2024_horizon03_G_Informer,2024,3,G-Informer,seed2024_horizon03_g_informer.py,G_seed2024_horizon3,python seed2024_horizon03_g_informer.py
91,seed2024_horizon03_ST_Informer,2024,3,ST-Informer,seed2024_horizon03_st_informer.py,ST_seed2024_horizon3,python seed2024_horizon03_st_informer.py
